name,price,image,clock speed,VRAM,manufacturer,model
Videokarte Gigabyte GeForce RTX 3060 Ti LHR version 8 GB GDDR6,950.07,https://images.1a.lv/display/aikido/store/1c571e5a58d494fc7392659a010a72f5.jpg?h=270&op=fit&w=374,14000 ,8 ,Gigabyte,GeForce RTX 3060 Ti
Videokarte Gigabyte Nvidia GeForce RTX 3060 Ti 8 GB GDDR6,890.0,https://images.1a.lv/display/aikido/store/60c196126957b30ad5b4e874ba3eec0b.jpg?h=270&op=fit&w=374,14000 ,8 ,Gigabyte,GeForce RTX 3060 Ti
Videokarte MSI Nvidia GeForce RTX 3060 Ti GeForce RTX 3060 Ti 8 GB GDDR6,1003.57,https://images.1a.lv/display/aikido/store/167beee4cb4388037118b905463de935.png?h=270&op=fit&w=374,1700 ,8 ,MSI,GeForce RTX 3060 Ti
Videokarte Gigabyte Nvidia GeForce RTX 3060 12 GB GDDR6,900.24,https://images.1a.lv/display/aikido/store/c0307a2cf9da7046df31b5e92533ef55.jpg?h=270&op=fit&w=374,15000 ,12 ,Gigabyte,GeForce RTX 3060
Videokarte Gigabyte GeForce GT 710 GV-N710D3-2GL 2 GB GDDR3,59.99,https://images.1a.lv/display/aikido/store/9cb1b11e85cbb119e8b7f9c6180a0d26.jpg?h=270&op=fit&w=374,1800 ,2 ,Gigabyte,GeForce GT 710
Videokarte MSI GeForce GT 1030 GT1030AEROITX2GD4OC 2 GB GDDR4,112.8,https://images.1a.lv/display/aikido/store/c539b1583ab6e7494edd0e7f8ff04989.jpg?h=270&op=fit&w=374,2100 ,2 ,MSI,GeForce GT 1030
Videokarte MSI Nvidia GeForce RTX 3060 12 GB GDDR6,906.03,https://images.1a.lv/display/aikido/store/911821f8f51c852e25e4e0f9df98d175.jpg?h=270&op=fit&w=374,15000 ,12 ,MSI,GeForce RTX 3060
Videokarte Asus GeForce GT 1030 PH-GT1030-O2G 2 GB GDDR5,126.19,https://images.1a.lv/display/aikido/store/309078d08178e974e3202a7f2f1d0eff.jpg?h=270&op=fit&w=374,6008 ,2 ,Asus,GeForce GT 1030
Videokarte Asus GeForce GT 1030 GT1030-2G-BRK 2 GB GDDR5,110.0,https://images.1a.lv/display/aikido/store/34dea245830d3329ccbbdc476f54c13d.jpg?h=270&op=fit&w=374,6008 ,2 ,Asus,GeForce GT 1030
Videokarte MSI Nvidia GeForce RTX 3070 8 GB GDDR6,1353.44,https://images.1a.lv/display/aikido/store/3564f15889b3b6913849e83091753eb8.jpg?h=270&op=fit&w=374,14000 ,8 ,MSI,GeForce RTX 3070
Videokarte MSI Nvidia GeForce RTX 3080 Ti 12 GB GDDR6X,2047.31,https://images.1a.lv/display/aikido/store/01c1c57d36172fe0c423af1565a3bdbe.jpg?h=270&op=fit&w=374,19000 ,12 ,MSI,GeForce RTX 3080 Ti
Videokarte PNY Quadro P620 2 GB GDDR5,216.7,https://images.1a.lv/display/aikido/store/a1f893a91207cb54689abca0f2d7ebe0.jpeg?h=270&op=fit&w=374,1266 ,2 ,PNY,Quadro P620
Videokarte Gigabyte GeForce GTX 1050 TI GV-N105TOC-4GL 4 GB GDDR5,334.29,https://images.1a.lv/display/aikido/store/08210af391604c416cd1074a899a003a.jpg?h=270&op=fit&w=374,7008 ,4 ,Gigabyte,GeForce GTX 1050 TI
Videokarte Asus Nvidia GeForce RTX 3080 Ti 12 GB GDDR6X,2000.0,https://images.1a.lv/display/aikido/store/edccbccb0c2a04b8dc478de2488c7569.jpg?h=270&op=fit&w=374,19000 ,12 ,Asus,GeForce RTX 3080 Ti
Videokarte Asus Nvidia GeForce RTX 3060 Ti 8 GB GDDR6,1038.87,https://images.1a.lv/display/aikido/store/7ef639dfca9fb3aa70f35cea7d9381cf.jpg?h=270&op=fit&w=374,14000 ,8 ,Asus,GeForce RTX 3060 Ti
Videokarte Gigabyte Nvidia GeForce RTX 3060 12 GB GDDR6,904.02,https://images.1a.lv/display/aikido/store/77c391bbf9d5775a4cd35dd8db14d2c9.jpg?h=270&op=fit&w=374,15000 ,12 ,Gigabyte,GeForce RTX 3060
Videokarte Asus AMD Radeon RX 6900 XT 16 GB GDDR6,2165.0,https://images.1a.lv/display/aikido/store/cec234c9caa6eb4a8facaf7a3d3dfba2.jpg?h=270&op=fit&w=374,16000 ,16 ,Asus,AMD Radeon RX 6900 XT
Videokarte Asus Nvidia GeForce RTX 3080 Ti 12 GB GDDR6X,2340.11,https://images.1a.lv/display/aikido/store/8cf64eaad0081a1985d2a5dc48892401.jpg?h=270&op=fit&w=374,19000 ,12 ,Asus,GeForce RTX 3080 Ti
Videokarte Gigabyte Nvidia GeForce RTX 3090 GV-N3090VISIONOC-24GD 24 GB GDDR6X,3050.0,https://images.1a.lv/display/aikido/store/6dffa71d892a1a5865b712a4b7a5ac47.jpg?h=270&op=fit&w=374,1755 ,24 ,Gigabyte,GeForce RTX 3090
Videokarte Gigabyte Nvidia GeForce RTX 3080 Ti 12 GB GDDR6X,1995.0,https://images.1a.lv/display/aikido/store/99624efe18659218293c9bd2adb99e15.jpg?h=270&op=fit&w=374,19000 ,12 ,Gigabyte,GeForce RTX 3080 Ti
Videokarte Gigabyte AMD Radeon RX 6900 XT 16 GB GDDR6,2015.0,https://images.1a.lv/display/aikido/store/5657bbf9012d258e55c1203685ac7631.jpg?h=270&op=fit&w=374,16000 ,16 ,Gigabyte,AMD Radeon RX 6900 XT
Videokarte Gigabyte Radeon RX 580 GV-RX580GAMING-8GDV2 8 GB GDDR5,864.47,https://images.1a.lv/display/aikido/store/2dac58be2d84441a4bf94837e400ef97.jpg?h=270&op=fit&w=374,1340 ,8 ,Gigabyte,Radeon RX 580
Videokarte Manli GeForce GTX 1050 TI 4 GB GDDR5,371.36,https://images.1a.lv/display/aikido/store/3cc9edbc5cca203ed0b9113c5e733dd6.jpg?h=270&op=fit&w=374,7008 ,4 ,Manli,GeForce GTX 1050 TI
Videokarte Afox AMD Radeon R5 220 2 GB GDDR3,47.0,https://images.1a.lv/display/aikido/store/dd889619dd9997bd3136e3363fdb7358.jpg?h=270&op=fit&w=374,1333 ,2 ,Afox,AMD Radeon R5 220
Videokarte Gigabyte Nvidia GeForce RTX 3070 GV-N3070GAMINGOC-8GD 8 GB GDDR6,1116.68,https://images.1a.lv/display/aikido/store/ae5563c896c500768b00ba24606d1d50.jpg?h=270&op=fit&w=374,1815 ,8 ,Gigabyte,GeForce RTX 3070
Videokarte Gigabyte GeForce GT 1030 GV-N1030D4-2GL 2 GB GDDR4,93.0,https://images.1a.lv/display/aikido/store/314be9b204af8c0db3ab8d800209ed71.jpg?h=270&op=fit&w=374,2100 ,2 ,Gigabyte,GeForce GT 1030
Videokarte Sapphire AMD Radeon RX 6900 XT Limited Edition 16 GB GDDR6,1907.75,https://images.1a.lv/display/aikido/store/eb1c848a0772abb2b06d0e58dce817f9.jpg?h=270&op=fit&w=374,2135 ,16 ,Sapphire,AMD Radeon RX 6900 XT
Videokarte Asus GeForce RTX 3060 Phoenix 12 GB GDDR6,798.04,https://images.1a.lv/display/aikido/store/402471efd277d3da0e1611c8566a65dd.jpg?h=270&op=fit&w=374,1807 ,12 ,Asus,GeForce RTX 3060
Videokarte MSI Nvidia GeForce RTX 3060 Ti Gaming Z Trio LHR 8 GB GDDR6,1070.0,https://images.1a.lv/display/aikido/store/8b6b692dff724a811942788fc10c0b71.jpg?h=270&op=fit&w=374,1845 ,8 ,MSI,GeForce RTX 3060 Ti
Videokarte MSI GeForce GT 710 GT 710 2GD3H LP 2 GB GDDR3,105.0,https://images.1a.lv/display/aikido/store/ac2241050e0569a000f705f097e187a0.jpg?h=270&op=fit&w=374,1600 ,2 ,MSI,GeForce GT 710
Videokarte Asus GeForce GT 710 GT710-SL-2GD5-BRK 2 GB GDDR5,70.0,https://images.1a.lv/display/aikido/store/cdb07a4430f3aea0f0dbdef9d49ce040.jpg?h=270&op=fit&w=374,5012 ,2 ,Asus,GeForce GT 710
Videokarte Sapphire Radeon RX 580 11265-05-20G 8 GB GDDR5,832.95,https://images.1a.lv/display/aikido/store/63bc5b29eae291687e36a83e59c3c181.jpg?h=270&op=fit&w=374,8000 ,8 ,Sapphire,Radeon RX 580
Videokarte Asus GeForce RTX 3080 Ti 12 GB GDDR6X,1970.08,https://images.1a.lv/display/aikido/store/f9437d2d1951321102dc23cb2a616058.jpg?h=270&op=fit&w=374,1665 ,12 ,Asus,GeForce RTX 3080 Ti
Videokarte MSI GeForce GT 1030 2GB DDR4 LP OC GT10302GHD4LPOC,100.88,https://images.1a.lv/display/aikido/store/868f4d1133ff88101c8b86fa8ed15f0e.jpg?h=270&op=fit&w=374,2100 ,2 ,MSI,GeForce GT 1030
Videokarte Afox GeForce GT 730 AF730-4096D3L6 4 GB GDDR3,122.44,https://images.1a.lv/display/aikido/store/fda3726c80e568290068f94f0dc5485e.jpg?h=270&op=fit&w=374,700 ,4 ,Afox,GeForce GT 730
Videokarte PNY Nvidia RTX A5000 24 GB GDDR6,2824.02,https://images.1a.lv/display/aikido/store/328ea820427cb314efa80d3eb79f9888.jpeg?h=270&op=fit&w=374,1695 ,24 ,PNY,Nvidia RTX A5000
Videokarte Zotac GeForce GT 710 ZT-71302-20L 2 GB GDDR3,77.6,https://images.1a.lv/display/aikido/store/eb89fb1b4bd5a352b3afe86d9c70872b.jpg?h=270&op=fit&w=374,1600 ,2 ,Zotac,GeForce GT 710
Videokarte EVGA GeForce RTX 2060 06G-P4-2062-KR 6 GB GDDR6,675.0,https://images.1a.lv/display/aikido/store/b77e3ce7c445cfcd41c0ec0b193c92d1.jpg?h=270&op=fit&w=374,14000 ,6 ,EVGA,GeForce RTX 2060
